SMILES,match_index
C7=CC=CC=C7[C@H]%45[C@H](C8=CC=CC=C8)N(C(C%46=CC=C(C(C)(C)C)C=C%46)=O)C(C(O)=O)N%45C(C%47=CC=C(C(C)(C)C)C=C%47)=O,26-15-16-14-27-28-29-30-31-32-33-43-6-5-7-8
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=CC(CCCC3)=C3S2)=O)C(C(O)=O)N1C(C1=CC2=C(CCCC2)S1)=O,33-23-24-22-34-35-36-37-38-39-40-49-10-9-11-12
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=COC(Br)=C2)=O)C(C(O)=O)N1C(C1=COC(Br)=C1)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=C(C)C=CO2)=O)C(C(O)=O)N1C(C1=C(C)C=CO1)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=C(C=CC=C3)C3=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC2=C1C=CC=C2)=O,26-15-16-14-27-28-29-30-31-32-33-43-6-5-7-8
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=C(F)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1F)=O,27-19-20-18-28-29-30-31-32-33-34-41-8-7-9-10
C6=CC=CC7=C6C=CC=C7[C@H]%21[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C%22=CC=C(Cl)C=C%22)=O)C(C(O)=O)N%21C(C%23=CC=C(Cl)C=C%23)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=C(C=CC=C3)C3=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC2=C1C=CC=C2)=O,30-19-20-18-31-32-33-34-35-36-37-47-8-7-9-10
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=C(I)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1I)=O,27-19-20-18-28-29-30-31-32-33-34-41-8-7-9-10
C6=CC(C=CC=C7)=C7C=C6[C@H]%33[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C%34=CC=C([N+]([O-])=O)C=C%34)=O)C(C(O)=O)N%33C(C%35=CC=C([N+]([O-])=O)C=C%35)=O,33-23-24-22-34-35-36-37-38-39-40-49-10-9-11-12
C8(C(F)(F)F)=CC=CC=C8[C@H]%89[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C%90=CC=CC(C(C)(C)C)=C%90)=O)C(C(O)=O)N%89C(C%91=CC(C(C)(C)C)=CC=C%91)=O,34-23-24-22-35-36-37-38-39-40-41-51-10-9-11-12
C8(C(F)(F)F)=CC=CC=C8[C@H]%48[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C%49=CC=C(C%50=CC=CC=C%50)C=C%49)=O)C(C(O)=O)N%48C(C%51=CC=C(C%52=CC=CC=C%52)C=C%51)=O,36-23-24-22-37-38-39-40-41-42-43-55-10-9-11-12
O=C(C1=CC=C(Br)C=C1)N2C(C(O)=O)N(C(C3=CC=C(Br)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,0-1-2-9-10-11-12-13-14-15-16-23-24-25-31-32
C8(OC)=CC=CC=C8[C@H]%33[C@H](C9=CC=CC=C9OC)N(C(C%34=CC=C([N+]([O-])=O)C=C%34)=O)C(C(O)=O)N%33C(C%35=CC=C([N+]([O-])=O)C=C%35)=O,29-19-20-18-30-31-32-33-34-35-36-45-8-7-9-10
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(Br)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1Br)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C7=CC=CC=C7[C@H]%86[C@H](C8=CC=CC=C8)N(C(C%87=CC=CC(C(C)C)=C%87)=O)C(C(O)=O)N%86C(C%88=CC(C(C)C)=CC=C%88)=O,25-15-16-14-26-27-28-29-30-31-32-41-6-5-7-8
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=CSC3=C2C=CC=C3)=O)C(C(O)=O)N1C(C1=CSC2=C1C=CC=C2)=O,33-23-24-22-34-35-36-37-38-39-40-49-10-9-11-12
O=C(C1=CC=C(C(C)(C)C)C=C1)N2C(C(O)=O)N(C(C3=CC=C(C(C)(C)C)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,0-1-2-12-13-14-15-16-17-18-19-29-30-31-37-38
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=C(I)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1I)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=CC=C(C#N)O2)=O)C(C(O)=O)N1C(C1=CC=C(C#N)O1)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=COC(Br)=C2)=O)C(C(O)=O)N1C(C1=COC(Br)=C1)=O,26-19-20-18-27-28-29-30-31-32-33-39-8-7-9-10
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(C(C)(C)C)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1C(C)(C)C)=O,34-23-24-22-35-36-37-38-39-40-41-51-10-9-11-12
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=COC3=C2C=CC=C3)=O)C(C(O)=O)N1C(C1=COC2=C1C=CC=C2)=O,33-23-24-22-34-35-36-37-38-39-40-49-10-9-11-12
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=COC3=C2C=CC=C3)=O)C(C(O)=O)N1C(C1=COC2=C1C=CC=C2)=O,29-19-20-18-30-31-32-33-34-35-36-45-8-7-9-10
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=CC=C(F)C=C2)=O)C(C(O)=O)N1C(C3=CC=C(F)C=C3)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C8(C(F)(F)F)=CC=CC=C8[C@H]%16[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C%17=CSC=C%17OC)=O)C(C(O)=O)N%16C(C%18=CSC=C%18OC)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
O=C(C1=CC(C)=CC(C)=C1)N2C(C(O)=O)N(C(C3=CC(C)=CC(C)=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,0-1-2-10-11-12-13-14-15-16-17-25-26-27-33-34
C8(C(F)(F)F)=CC=CC=C8[C@H]%21[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C%22=CC=C(Cl)C=C%22)=O)C(C(O)=O)N%21C(C%23=CC=C(Cl)C=C%23)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C6=CC=CC7=C6C=CC=C7[C@H]%83[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C%84=CC=CC(CC)=C%84)=O)C(C(O)=O)N%83C(C%85=CC(CC)=CC=C%85)=O,32-23-24-22-33-34-35-36-37-38-39-47-10-9-11-12
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(Cl)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1Cl)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=CC(C)=CS2)=O)C(C(O)=O)N1C(C1=CC(C)=CS1)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
C8(OC)=CC=CC=C8[C@H]7[C@H](C9=CC=CC=C9OC)N(C(C8=CC=CC=C8)=O)C(C(O)=O)N7C(C9=CC=CC=C9)=O,26-19-20-18-27-28-29-30-31-32-33-39-8-7-9-10
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=CC(C)=CS2)=O)C(C(O)=O)N1C(C1=CC(C)=CS1)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=C(CC)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1CC)=O,32-23-24-22-33-34-35-36-37-38-39-47-10-9-11-12
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(C#N)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1C#N)=O,32-23-24-22-33-34-35-36-37-38-39-47-10-9-11-12
C6=CC(C=CC=C7)=C7C=C6[C@H]%16[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C%17=CSC=C%17OC)=O)C(C(O)=O)N%16C(C%18=CSC=C%18OC)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=C(C#N)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1C#N)=O,32-23-24-22-33-34-35-36-37-38-39-47-10-9-11-12
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=CC=C(Cl)O2)=O)C(C(O)=O)N1C(C1=CC=C(Cl)O1)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=C(C)OC(C)=C2)=O)C(C(O)=O)N1C(C1=C(C)OC(C)=C1)=O,27-19-20-18-28-29-30-31-32-33-34-41-8-7-9-10
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(C(F)(F)F)OC=C2)=O)C(C(O)=O)N1C(C1=C(C(F)(F)F)OC=C1)=O,33-23-24-22-34-35-36-37-38-39-40-49-10-9-11-12
C8(C(F)(F)F)=CC=CC=C8[C@H]%13[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C%14=C(F)C=CS%14)=O)C(C(O)=O)N%13C(C%15=C(F)C=CS%15)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=C(C)OC=C2)=O)C(C(O)=O)N1C(C1=C(C)OC=C1)=O,22-15-16-14-23-24-25-26-27-28-29-35-6-5-7-8
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=C(F)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1F)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=CC=C(C)O2)=O)C(C(O)=O)N1C(C1=CC=C(C)O1)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=C(C)C(C=CC=C3)=C3O2)=O)C(C(O)=O)N1C(C1=C(C)C2=C(C=CC=C2)O1)=O,34-23-24-22-35-36-37-38-39-40-41-51-10-9-11-12
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=COC=C2C)=O)C(C(O)=O)N1C(C1=COC=C1C)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=CC=CO2)=O)C(C(O)=O)N1C(C1=CC=CO1)=O,25-19-20-18-26-27-28-29-30-31-32-37-8-7-9-10
C6=CC=CC7=C6C=CC=C7[C@H]%13[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C%14=C(F)C=CS%14)=O)C(C(O)=O)N%13C(C%15=C(F)C=CS%15)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
C8(C(F)(F)F)=CC=CC=C8[C@H]7[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C8=CC=CC=C8)=O)C(C(O)=O)N7C(C9=CC=CC=C9)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
O=C(CCCCC)N1C(C(O)=O)N(C(CCCCC)=O)[C@@H](C2=CC=CC=C2)[C@@H]1C3=CC=CC=C3,0-1-2-7-8-9-10-11-12-13-14-19-20-21-27-28
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=CC=C(C3=CC=CC=C3)O2)=O)C(C(O)=O)N1C(C1=CC=C(C2=CC=CC=C2)O1)=O,31-19-20-18-32-33-34-35-36-37-38-49-8-7-9-10
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C([N+]([O-])=O)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1[N+]([O-])=O)=O,33-23-24-22-34-35-36-37-38-39-40-49-10-9-11-12
C6=CC(C=CC=C7)=C7C=C6[C@H]%77[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C%78=CC=CC([N+]([O-])=O)=C%78)=O)C(C(O)=O)N%77C(C%79=CC([N+]([O-])=O)=CC=C%79)=O,33-23-24-22-34-35-36-37-38-39-40-49-10-9-11-12
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=COC=C2C)=O)C(C(O)=O)N1C(C1=COC=C1C)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
C6=CC=CC7=C6C=CC=C7[C@H]%62[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C%63=CC=CC(I)=C%63)=O)C(C(O)=O)N%62C(C%64=CC(I)=CC=C%64)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=COC=C2)=O)C(C(O)=O)N1C(C1=COC=C1)=O,29-23-24-22-30-31-32-33-34-35-36-41-10-9-11-12
C6=CC=CC7=C6C=CC=C7[C@H]%45[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C%46=CC=C(C(C)(C)C)C=C%46)=O)C(C(O)=O)N%45C(C%47=CC=C(C(C)(C)C)C=C%47)=O,34-23-24-22-35-36-37-38-39-40-41-51-10-9-11-12
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=C(Cl)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1Cl)=O,27-19-20-18-28-29-30-31-32-33-34-41-8-7-9-10
C6=CC(C=CC=C7)=C7C=C6[C@H]%59[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C%60=CC=CC(Br)=C%60)=O)C(C(O)=O)N%59C(C%61=CC(Br)=CC=C%61)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=C(C)C=CS2)=O)C(C(O)=O)N1C(C1=C(C)C=CS1)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
O=C(C1=CC=CO1)N2C(C(O)=O)N(C(C3=CC=CO3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,0-1-2-7-8-9-10-11-12-13-14-19-20-21-27-28
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=C(C)OC(C)=C2)=O)C(C(O)=O)N1C(C1=C(C)OC(C)=C1)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(CC2=CC=CC=C2)=O)C(C(O)=O)N1C(CC1=CC=CC=C1)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C8(C(F)(F)F)=CC=CC=C8[C@H]4[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C5=CC=CS5)=O)C(C(O)=O)N4C(C6=CC=CS6)=O,29-23-24-22-30-31-32-33-34-35-36-41-10-9-11-12
C6=CC(C=CC=C7)=C7C=C6[C@H]%53[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C%54=CC=CC(F)=C%54)=O)C(C(O)=O)N%53C(C%55=CC(F)=CC=C%55)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C7=CC=CC=C7[C@H]%30[C@H](C8=CC=CC=C8)N(C(C%31=CC=C(C(F)(F)F)C=C%31)=O)C(C(O)=O)N%30C(C%32=CC=C(C(F)(F)F)C=C%32)=O,26-15-16-14-27-28-29-30-31-32-33-43-6-5-7-8
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=C(C)OC=C2)=O)C(C(O)=O)N1C(C1=C(C)OC=C1)=O,26-19-20-18-27-28-29-30-31-32-33-39-8-7-9-10
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(C)C(C=CC=C3)=C3O2)=O)C(C(O)=O)N1C(C1=C(C)C2=C(C=CC=C2)O1)=O,34-23-24-22-35-36-37-38-39-40-41-51-10-9-11-12
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=CC=C(Br)S2)=O)C(C(O)=O)N1C(C1=CC=C(Br)S1)=O,26-19-20-18-27-28-29-30-31-32-33-39-8-7-9-10
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=C(Br)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1Br)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C8(OC)=CC=CC=C8[C@H]1[C@H](C9=CC=CC=C9OC)N(C(C2=C(C)OC(C3=CC=CC=C3)=C2)=O)C(C(O)=O)N1C(C1=C(C)OC(C2=CC=CC=C2)=C1)=O,32-19-20-18-33-34-35-36-37-38-39-51-8-7-9-10
C7=CC=CC=C7[C@H]%65[C@H](C8=CC=CC=C8)N(C(C%66=CC=CC(C(F)(F)F)=C%66)=O)C(C(O)=O)N%65C(C%67=CC(C(F)(F)F)=CC=C%67)=O,26-15-16-14-27-28-29-30-31-32-33-43-6-5-7-8
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=CSC(C)=C2)=O)C(C(O)=O)N1C(C1=CSC(C)=C1)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
C8(C(F)(F)F)=CC=CC=C8[C@H]%59[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C%60=CC=CC(Br)=C%60)=O)C(C(O)=O)N%59C(C%61=CC(Br)=CC=C%61)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C8(OC)=CC=CC=C8[C@H]%77[C@H](C9=CC=CC=C9OC)N(C(C%78=CC=CC([N+]([O-])=O)=C%78)=O)C(C(O)=O)N%77C(C%79=CC([N+]([O-])=O)=CC=C%79)=O,29-19-20-18-30-31-32-33-34-35-36-45-8-7-9-10
C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=CSC(C)=C2)=O)C(C(O)=O)N1C(C1=CSC(C)=C1)=O,22-15-16-14-23-24-25-26-27-28-29-35-6-5-7-8
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=C(Br)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1Br)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C8(OC)=CC=CC=C8[C@H]%42[C@H](C9=CC=CC=C9OC)N(C(C%43=CC=C(C(C)C)C=C%43)=O)C(C(O)=O)N%42C(C%44=CC=C(C(C)C)C=C%44)=O,29-19-20-18-30-31-32-33-34-35-36-45-8-7-9-10
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(Br)C=CO2)=O)C(C(O)=O)N1C(C1=C(Br)C=CO1)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
C6=CC(C=CC=C7)=C7C=C6[C@H]%97[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C%98=CC=CC(OC)=C%98)=O)C(C(O)=O)N%97C(C%99=CC(OC)=CC=C%99)=O,32-23-24-22-33-34-35-36-37-38-39-47-10-9-11-12
C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=CC=C(C3=CC=CC=C3)O2)=O)C(C(O)=O)N1C(C1=CC=C(C2=CC=CC=C2)O1)=O,27-15-16-14-28-29-30-31-32-33-34-45-6-5-7-8
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=C(C(F)(F)F)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1C(F)(F)F)=O,34-23-24-22-35-36-37-38-39-40-41-51-10-9-11-12
C6=CC=CC7=C6C=CC=C7[C@H]1[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C2=CC=CO2)=O)C(C(O)=O)N1C(C1=CC=CO1)=O,29-23-24-22-30-31-32-33-34-35-36-41-10-9-11-12
O=C(C1=CC=C(C(C)C)C=C1)N2C(C(O)=O)N(C(C3=CC=C(C(C)C)C=C3)=O)[C@@H](C4=CC=CC=C4)[C@@H]2C5=CC=CC=C5,0-1-2-11-12-13-14-15-16-17-18-27-28-29-35-36
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)=O)C(C(O)=O)N1C(C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)=O,38-23-24-22-39-40-41-42-43-44-45-59-10-9-11-12
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(Br)OC=C2)=O)C(C(O)=O)N1C(C1=C(Br)OC=C1)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
C6=CC=CC7=C6C=CC=C7[C@H]%24[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C%25=CC=C(Br)C=C%25)=O)C(C(O)=O)N%24C(C%26=CC=C(Br)C=C%26)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C8(C(F)(F)F)=CC=CC=C8[C@H]1[C@H](C9=C(C(F)(F)F)C=CC=C9)N(C(C2=C(Br)SC=C2)=O)C(C(O)=O)N1C(C1=C(Br)SC=C1)=O,30-23-24-22-31-32-33-34-35-36-37-43-10-9-11-12
C6=CC(C=CC=C7)=C7C=C6[C@H]1[C@H](C8=CC(C=CC=C9)=C9C=C8)N(C(C2=CC=C([N+]([O-])=O)O2)=O)C(C(O)=O)N1C(C1=CC=C([N+]([O-])=O)O1)=O,32-23-24-22-33-34-35-36-37-38-39-47-10-9-11-12
C8(OC)=CC=CC=C8[C@H]%13[C@H](C9=CC=CC=C9OC)N(C(C%14=C(F)C=CS%14)=O)C(C(O)=O)N%13C(C%15=C(F)C=CS%15)=O,26-19-20-18-27-28-29-30-31-32-33-39-8-7-9-10
C6=CC=CC7=C6C=CC=C7[C@H]%36[C@H](C8=CC=CC9=C8C=CC=C9)N(C(C%37=CC=C(C)C=C%37)=O)C(C(O)=O)N%36C(C%38=CC=C(C)C=C%38)=O,31-23-24-22-32-33-34-35-36-37-38-45-10-9-11-12
C7=CC=CC=C7[C@H]1[C@H](C8=CC=CC=C8)N(C(C2=C(I)C=CC=C2)=O)C(C(O)=O)N1C(C1=CC=CC=C1I)=O,23-15-16-14-24-25-26-27-28-29-30-37-6-5-7-8
